"","lon","lat","t","m"
"115",-116.293,34.602,0.571481481481481,3.39
"116",-116.258,34.512,0.57224537037037,3.15
"117",-116.303,34.66633,0.576689814814815,3.56
"118",-116.256,34.567,0.581886574074074,3.17
"119",-116.286,34.698,0.588599537037037,3.46
"120",-116.2905,34.67833,0.589652777777778,3.2
"121",-116.442,34.613,0.592662037037037,3.28
"122",-116.30017,34.5905,0.594027777777778,3
"123",-116.271,34.576,0.594733796296296,3.3
"124",-116.27,34.49,0.595185185185185,3
"125",-116.236,34.604,0.598125,3.2
"126",-116.347,34.647,0.598402777777778,3.4
"127",-116.3615,34.68117,0.610601851851852,3.2
"128",-116.264,34.476,0.611076388888889,3.26
"129",-116.251,34.605,0.611701388888889,3.28
"130",-116.25,34.554,0.612002314814815,3.27
"131",-116.252,34.43,0.623425925925926,4.58
"132",-116.216,34.435,0.628819444444444,3
"133",-116.263,34.4755,0.628912037037037,3.2
"134",-116.245,34.532,0.634861111111111,3.1
"135",-116.304,34.681,0.63943287037037,3
"136",-116.29367,34.70383,0.639502314814815,4.27
"137",-116.265,34.568,0.641875,3.73
"138",-116.343,34.787,0.645324074074074,3.61
"139",-116.275,34.589,0.647256944444444,3.37
"140",-116.298,34.659,0.651099537037037,3.06
"141",-116.289,34.693,0.6546875,3
"142",-116.28,34.607,0.690335648148148,3.67
"143",-116.283,34.669,0.6971875,3.1
"144",-116.148,34.372,0.697615740740741,3.15
"145",-116.303,34.674,0.707534722222222,3.47
"146",-116.29,34.703,0.71224537037037,3.06
"147",-116.26567,34.48583,0.713321759259259,3
"148",-116.39,34.861,0.713506944444444,3.38
"149",-116.39,34.854,0.71412037037037,3.21
"150",-116.303,34.586,0.726666666666667,3
"151",-116.285,34.506,0.727118055555556,3.12
"152",-116.28,34.689,0.7309375,4.64
"153",-116.269,34.686,0.731319444444444,4.53
"154",-116.15883,34.51883,0.732523148148148,3.15
"155",-116.27133,34.57933,0.734652777777778,3.14
"156",-116.308,34.606,0.737106481481482,3.49
"157",-116.34167,34.66983,0.770671296296296,3.94
"158",-116.35933,34.806,0.795266203703704,3.18
"159",-116.2015,34.42817,0.800613425925926,3.25
"160",-116.284,34.695,0.801851851851852,3.4
"161",-116.253,34.566,0.81400462962963,3.04
"162",-116.328,34.629,0.819027777777778,3
"163",-116.251,34.452,0.8225,3.22
"164",-116.35617,34.7075,0.842094907407407,4.53
"165",-116.334,34.658,0.842407407407407,3.97
"166",-116.347,34.704,0.843449074074074,3.05
"167",-116.305,34.542,0.880891203703704,3.06
"168",-116.341,34.815,0.882349537037037,3.26
"169",-116.31833,34.66767,0.882708333333333,3.15
"170",-116.242,34.488,0.907453703703704,3.54
"171",-116.058,34.294,0.913344907407407,3.41
"172",-116.293,34.607,0.919305555555556,3.22
"173",-116.235,34.612,0.921076388888889,3.41
"174",-116.293,34.67,0.963020833333333,3.01
"175",-116.183,34.423,0.964293981481481,3.13
"176",-116.294,34.673,0.96494212962963,3.16
"177",-116.286,34.522,0.969548611111111,3.73
"178",-116.3,34.687,0.972523148148148,3.2
"179",-116.143,34.362,0.978229166666667,3.36
"180",-116.256,34.537,0.991585648148148,3.3
"181",-116.343,34.82,1.00065972222222,3.13
"182",-116.295,34.785,1.01878472222222,3.41
"183",-116.171,34.405,1.05423611111111,3.34
"184",-116.268,34.601,1.0566087962963,3.01
"185",-116.224,34.627,1.07008101851852,3.02
"186",-116.361,34.832,1.07064814814815,4.16
"187",-116.248,34.463,1.07871527777778,3.28
"188",-116.36,34.678,1.079375,3.26
"189",-116.281,34.504,1.08634259259259,3.43
"190",-116.289,34.607,1.0952662037037,3.59
"191",-116.284,34.661,1.09869212962963,3.13
"192",-116.388,34.723,1.10130787037037,3.23
"193",-116.263,34.501,1.10506944444444,3.06
"194",-116.296,34.696,1.10565972222222,3.1
"195",-116.311,34.544,1.18203703703704,3.18
"196",-116.264,34.564,1.1865625,3.15
"197",-116.354,34.85,1.18763888888889,3.44
"198",-116.312,34.629,1.19060185185185,3.2
"199",-116.3,34.701,1.20020833333333,3.3
"200",-116.294,34.667,1.21479166666667,3.33
"201",-116.4035,34.8215,1.23174768518519,3.63
"202",-116.363,34.837,1.23672453703704,3
"203",-116.258,34.557,1.23688657407407,3.77
"204",-116.276,34.592,1.25266203703704,3.21
"205",-116.287,34.614,1.26603009259259,3.13
"206",-116.181,34.426,1.26967592592593,3.05
"207",-116.31,34.695,1.27587962962963,3.6
"208",-116.321,34.614,1.29342592592593,3.17
"209",-116.318,34.612,1.29505787037037,3.54
"210",-116.207,34.422,1.30946759259259,3.04
"211",-116.367,34.708,1.31549768518519,3.63
"212",-116.124,34.31,1.33096064814815,3.27
"213",-116.124,34.315,1.33103009259259,3.03
"214",-116.297,34.664,1.33380787037037,3.87
"215",-116.308,34.627,1.33525462962963,3.2
"216",-116.384,34.689,1.3766087962963,3.23
"217",-116.254,34.478,1.39784722222222,3.48
"218",-116.285,34.648,1.48248842592593,3.82
"219",-116.85683,34.0805,1.48626157407407,3.11
"220",-116.28983,34.5425,1.51256944444444,3.37
"221",-116.36333,34.79283,1.52006944444444,3.52
"222",-116.24367,34.45817,1.52974537037037,3.03
"223",-116.137,34.345,1.54828703703704,3.6
"224",-116.1425,34.35333,1.57064814814815,4.23
"225",-116.19817,34.40883,1.5715625,3.04
"226",-116.14483,34.3625,1.5775,4.09
"227",-116.138,34.362,1.57765046296296,4.18
"228",-116.264,34.5715,1.58202546296296,3.01
"229",-116.307,34.521,1.60980324074074,3.44
"230",-116.29483,34.66617,1.64018518518519,3.7
"231",-116.23567,34.60033,1.68354166666667,3.28
"232",-116.3565,34.53467,1.68449074074074,3.1
"233",-116.12033,34.34267,1.72868055555556,3.04
"234",-116.27683,34.50633,1.73126157407407,3.21
"235",-116.229,34.471,1.73143518518519,3.21
"236",-116.242,34.434,1.7515162037037,3.41
"237",-116.343,34.674,1.7996875,3
"238",-116.30667,34.54533,1.84393518518519,3.62
"239",-116.269,34.49,1.86680555555556,3.22
"240",-116.14433,34.36367,1.88451388888889,3.55
"241",-116.997,34.336,1.92021990740741,3.08
"242",-116.302,34.617,1.92134259259259,3.21
"243",-116.276,34.668,2.01085648148148,3.73
"244",-116.297,34.637,2.07809027777778,3.17
"245",-116.243,34.424,2.08400462962963,3.05
"246",-116.14933,34.3595,2.16299768518519,4.59
"247",-116.259,34.583,2.17875,3.68
"248",-116.26,34.509,2.18509259259259,3.53
"249",-116.294,34.576,2.24267361111111,3.53
"250",-116.257,34.563,2.31708333333333,3.66
"251",-116.351,34.856,2.34809027777778,4.35
"252",-116.285,34.693,2.35741898148148,3.48
"253",-116.267,34.505,2.40414351851852,3.17
"254",-116.671,34.325,2.44465277777778,3.27
"255",-116.31,34.685,2.44623842592593,3.08
"256",-116.314,34.85,2.49017361111111,3.07
"257",-116.302,34.654,2.55841435185185,3.34
"258",-116.071,34.318,2.57608796296296,3.02
"259",-116.291,34.453,2.58594907407407,3.65
"260",-116.286,34.453,2.6037962962963,3.39
"261",-116.286,34.798,2.71290509259259,3.22
